year,double_debt_drawdown,payments_double_debt_francs,payments_indemnity,payments_principal_interest_1825_loan,late_fees,consumer_price_index_usd,exchange_rate_franc_to_usd,haiti_historical_gdp,double_debt_in_2021_usd,double_debt_in_2024_usd,payments_double_debt_francs_2024_usd,payments_indemnity_2024_usd,payments_principal_interest_2024_usd,late_fees_2024_usd
1825,156000000,0,0,0,NA,34,5.43,10201098.53,0,0,0,0,0,NA
1826,150700000,5300000,5300000,0,NA,34,5.43,9113571.36,23376611.42,24082035.05,5459935.294,5459935.294,0,NA
1827,150700000,0,0,0,NA,34,5.43,10439412.13,0,0,0,0,0,NA
1828,150700000,0,0,0,NA,33,5.43,10181625.88,0,0,0,0,0,NA
1829,150700000,0,0,0,NA,32,5.43,9682777.84,0,0,0,0,0,NA
1830,150700000,0,0,0,NA,32,5.24,10183620.03,0,0,0,0,0,NA
1831,151528000,828000,0,828000,NA,32,5.24,10342440.93,4020994.75,4401230.066,906297.75,0,906297.75,NA
1832,150528000,1828000,0,1828000,NA,30,5.24,10613747.52,9469086.51,11055474.14,2134250.933,0,2134250.933,NA
1833,149473000,1355500,0,1355500,NA,29,5.24,10368060.5,7263646.03,8772981.581,1637163.552,0,1637163.552,NA
1834,148418000,1355500,0,1355500,NA,30,5.24,12123449.18,7021524.49,8197863.893,1582591.433,0,1582591.433,NA
1835,144963000,3755500,0,3755500,NA,31,5.24,11981762.39,18826050.54,21271007.94,4243230.419,0,4243230.419,NA
1836,143080000,527500,0,527500,NA,33,5.24,12594480.01,2484057.66,2636563.745,559885.303,0,559885.303,NA
1837,142025000,527500,0,527500,NA,34,5.24,9725284.91,2410997.14,2483752.524,543418.0882,0,543418.0882,NA
1838,78830000,3387500,1500000,1887500,NA,32,5.24,11430840.29,16450627.68,18006240.16,3707830.469,1641843.75,2065986.719,NA
1839,76223996.67,2809163.33,1733333.33,1075830,NA,32,5.24,10744994.23,13642066.43,14932094.34,3074804.837,1897241.663,1177563.174,NA
1840,70077113.34,6436113.33,1733333.33,4702780,NA,30,5.22,10609888.47,33466967.33,39073799.92,7514376.85,2023724.441,5490652.409,NA
1841,67619690,2833023.34,1733333.34,1099690,NA,31,5.22,10928192.7,14256154.4,16107614.97,3200950.823,1958443.018,1242507.805,NA
1842,64661210,3270210,1500000,1770210,NA,29,5.22,11049821.11,17591042.43,21246339.73,3949737.085,1811689.655,2138047.43,NA
1843,64307000,0,0,0,NA,28,5.22,10880736.91,0,0,0,0,0,NA
1844,62707000,1600000,1600000,0,NA,28,5.22,11131904.92,8914066.78,11150860.82,2001485.714,2001485.714,0,NA
1845,62707000,0,0,0,NA,28,5.22,11185891.64,0,0,0,0,0,NA
1846,62707000,0,0,0,NA,27,5.22,11158527.96,0,0,0,0,0,NA
1847,62707000,0,0,0,NA,28,5.22,12539050.3,0,0,0,0,0,NA
1848,62651000,56000,0,56000,NA,26,5.22,12060168.03,335991.75,452632.5783,75440.61538,0,75440.61538,NA
1849,62651000,0,0,0,NA,25,5.22,11610215.19,0,0,0,0,0,NA
1850,62651000,0,0,0,NA,25,5.21,13466240.67,0,0,0,0,0,NA
1851,61364689.01,1286310.99,1286310.99,0,NA,25,5.21,14435608.67,8041789.17,11266868.3,1802173.149,1802173.149,0,NA
1852,59251000,2113689.01,2113689.01,0,NA,25,5.21,14436056.71,13214410.45,18513917.62,2961362.851,2961362.851,0,NA
1853,57551000,1700000,1700000,0,NA,25,5.21,14576594.78,10628099.81,14890392.96,2381768,2381768,0,NA
1854,56073610,2178610,1700000,478610,NA,27,5.21,15062095.52,12611375.01,16360223,2826221.995,2205340.741,620881.2541,NA
1855,52355000,4400000,3600000,800000,NA,28,5.21,13696750.83,24560734.85,30723724.96,5504085.714,4503342.857,1000742.857,NA
1856,50271000,2600000,1800000,800000,NA,27,5.21,14811305.98,15050686,19524641.77,3372874.074,2335066.667,1037807.407,NA
1857,48187000,2600000,1800000,800000,NA,28,5.21,17450304.77,14513161.5,18154928.38,3252414.286,2251671.429,1000742.857,NA
1858,46103000,2600000,1800000,800000,NA,26,5.21,17304226.61,15629558.54,21055419.9,3502600,2424876.923,1077723.077,NA
1859,43419000,3200000,2400000,800000,NA,27,5.21,15936206.55,18523921.23,24030328.33,4151229.63,3113422.222,1037807.407,NA
1860,40733000,3200000,2400000,800000,NA,27,5.18,16936736.82,18631202.63,24169500.12,4151229.63,3113422.222,1037807.407,NA
1861,38048000,3200000,2400000,800000,NA,27,5.18,13868327.95,18631202.63,24169500.12,4151229.63,3113422.222,1037807.407,NA
1862,35363000,3200000,2400000,800000,NA,30,5.18,16379646.75,16768082.37,19577295.1,3736106.667,2802080,934026.6667,NA
1863,32678000,3200000,2400000,800000,NA,37,5.18,20779499.36,13595742.46,12870391.23,3029275.676,2271956.757,757318.9189,NA
1864,29395000,3800000,3000000,800000,NA,47,5.18,16490712.86,12709849.67,9471812.65,2831889.362,2235702.128,596187.234,NA
1865,26109000,3800000,3000000,800000,NA,46,5.18,16937576,12986150.75,9888106.873,2893452.174,2284304.348,609147.8261,NA
1866,22730192.2,3204895.8,2930351.8,274544,NA,44,5.18,19812021.99,11450274.88,9114939.272,2551242.734,2332693.231,218549.5033,NA
1867,22626192.2,274544,0,274544,NA,42,5.18,17571220.61,1027584.02,856956.1401,228956.6225,0,228956.6225,NA
1868,20987349.49,1809386.71,1534842.71,274544,NA,40,5.18,19433572.25,7110924.7,6226681.214,1584389.473,1343985.019,240404.4536,NA
